;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07738;0.06439;20.00;0.1494;0.05150;0.02515;0.3447;6.943;0.3319;0.01097;0.6206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1231;0.1101;20.00;0.1675;0.1181;0.03262;0.7046;7.294;0.6138;0.01495;0.8456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1707;0.1577;20.00;0.1928;0.1199;0.03613;0.6220;9.738;0.5564;0.02211;1.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2173;0.2043;20.00;0.1451;0.1065;0.02865;0.7341;10.23;0.6333;0.01841;1.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2656;0.2526;20.00;0.1351;0.09639;0.02641;0.7135;12.28;0.6197;0.02038;1.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3133;0.3003;20.00;0.1353;0.09901;0.02669;0.7315;14.82;0.6316;0.02485;1.406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3614;0.3484;20.00;0.1525;0.1119;0.03010;0.7338;18.61;0.6330;0.03519;1.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4094;0.3964;20.00;0.1539;0.1113;0.03022;0.7236;22.80;0.6264;0.04330;2.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4559;0.4429;20.00;0.1698;0.1235;0.03342;0.7274;28.17;0.6289;0.05916;3.346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.5025;0.4895;20.00;0.1521;0.1178;0.03063;0.7746;32.62;0.6591;0.06277;3.550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5487;0.5358;20.00;0.1464;0.1211;0.03024;0.8273;38.26;0.6912;0.07269;4.111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5949;0.5819;20.00;0.1421;0.1236;0.02997;0.8696;45.31;0.7157;0.08532;4.826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6412;0.6282;20.00;0.1269;0.1175;0.02753;0.9260;52.87;0.7470;0.09144;5.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.7234;0.7105;20.00;0.1111;0.08015;0.02181;0.7212;66.31;0.6248;0.09085;5.139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7706;0.7576;20.00;0.09014;0.09656;0.02102;1.071;70.89;0.8198;0.09364;5.297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
