;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07848;0.06586;20.00;6.110;5.865;1.348;0.9599;0.01210;0.7649;0.001025;0.05795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1237;0.1111;20.00;9.087;11.09;2.282;1.221;0.008627;0.8845;0.001237;0.06997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1703;0.1576;20.00;15.40;10.90;3.003;0.7078;0.008007;0.6159;0.001511;0.08547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2169;0.2043;20.00;19.32;8.586;3.365;0.4444;0.008732;0.4182;0.001846;0.1044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2635;0.2509;20.00;20.80;5.946;3.443;0.2858;0.01043;0.2784;0.002256;0.1276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3092;0.2966;20.00;21.91;2.560;3.511;0.1168;0.01249;0.1163;0.002757;0.1559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3551;0.3424;20.00;21.39;0.2126;3.405;0.009940;0.01575;0.009940;0.003369;0.1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4008;0.3882;20.00;22.53;1.678;3.595;0.07448;0.01821;0.07434;0.004113;0.2326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4493;0.4367;20.00;22.29;2.391;3.568;0.1073;0.02242;0.1069;0.005025;0.2842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.4962;0.4836;20.00;21.98;3.139;3.533;0.1428;0.02766;0.1419;0.006139;0.3472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5437;0.5311;20.00;21.84;4.026;3.535;0.1843;0.03376;0.1822;0.007500;0.4242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5920;0.5794;20.00;21.86;4.506;3.553;0.2061;0.04104;0.2033;0.009161;0.5182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6398;0.6271;20.00;21.82;4.988;3.563;0.2286;0.04999;0.2247;0.01119;0.6330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.6882;0.6755;20.00;21.80;5.312;3.572;0.2436;0.06092;0.2390;0.01367;0.7732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7339;0.7213;20.00;21.74;5.635;3.574;0.2592;0.07436;0.2536;0.01670;0.9446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|16;0.7800;0.7674;20.00;21.99;5.606;3.612;0.2549;0.08989;0.2496;0.02040;1.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|17;0.8268;0.8141;20.00;21.99;5.820;3.621;0.2646;0.1095;0.2587;0.02492;1.410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|18;0.8733;0.8606;20.00;21.93;5.791;3.610;0.2641;0.1342;0.2582;0.03045;1.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|19;0.9191;0.9065;20.00;22.26;5.966;3.668;0.2680;0.1613;0.2618;0.03719;2.103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|20;0.9647;0.9521;20.00;22.42;6.126;3.699;0.2732;0.1954;0.2667;0.04543;2.569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|21;1.012;0.9994;20.00;22.62;6.213;3.733;0.2747;0.2366;0.2681;0.05549;3.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|22;1.058;1.046;20.00;22.67;6.254;3.743;0.2758;0.2882;0.2691;0.06779;3.834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|23;1.104;1.092;20.00;22.82;6.261;3.765;0.2744;0.3500;0.2678;0.08281;4.684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|24;1.152;1.139;20.00;22.95;6.312;3.789;0.2750;0.4249;0.2684;0.1012;5.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|25;1.198;1.186;20.00;23.12;6.254;3.812;0.2705;0.5160;0.2642;0.1236;6.990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|26;1.246;1.233;20.00;23.20;6.232;3.823;0.2687;0.6285;0.2625;0.1510;8.539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|27;1.294;1.281;20.00;23.20;6.349;3.828;0.2737;0.7667;0.2671;0.1844;10.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|28;1.341;1.329;20.00;23.27;6.373;3.840;0.2739;0.9338;0.2673;0.2253;12.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|29;1.387;1.375;20.00;23.40;6.419;3.862;0.2743;1.134;0.2677;0.2752;15.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|30;1.433;1.421;20.00;23.55;6.454;3.886;0.2741;1.377;0.2675;0.3362;19.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|31;1.480;1.467;20.00;23.67;6.522;3.908;0.2756;1.673;0.2689;0.4107;23.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|32;1.527;1.514;20.00;23.83;6.542;3.932;0.2745;2.031;0.2679;0.5017;28.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
