;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07752;0.06472;20.00;9.972;4.113;1.717;0.4125;0.09500;0.3912;0.01025;0.5796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1228;0.1100;20.00;10.43;4.045;1.781;0.3877;0.1112;0.3698;0.01245;0.7040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1692;0.1564;20.00;10.55;3.922;1.791;0.3718;0.1344;0.3560;0.01513;0.8557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2157;0.2029;20.00;10.70;3.974;1.816;0.3715;0.1611;0.3557;0.01838;1.040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2619;0.2491;20.00;10.86;3.947;1.839;0.3634;0.1933;0.3486;0.02234;1.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3084;0.2956;20.00;10.98;3.917;1.855;0.3568;0.2329;0.3427;0.02715;1.536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3542;0.3414;20.00;10.94;3.867;1.847;0.3533;0.2843;0.3396;0.03300;1.867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4005;0.3877;20.00;11.02;3.899;1.860;0.3538;0.3431;0.3401;0.04011;2.268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4472;0.4344;20.00;11.06;3.918;1.868;0.3541;0.4153;0.3403;0.04874;2.757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.4943;0.4815;20.00;11.20;3.856;1.886;0.3442;0.5000;0.3315;0.05924;3.351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5404;0.5276;20.00;11.25;3.880;1.894;0.3449;0.6049;0.3321;0.07199;4.072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5874;0.5746;20.00;11.22;3.867;1.889;0.3446;0.7374;0.3319;0.08751;4.950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6351;0.6222;20.00;11.20;3.817;1.883;0.3409;0.8992;0.3285;0.1064;6.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
