y,min,max,ave
0,137.3417722,162.0253165,149.6835443
5,137.3417722,160.1265823,148.7341772
10,126.5822785,152.2151899,139.3987342
15,105.6962025,131.3291139,118.5126582
20,88.92405063,104.7468354,96.83544304
25,87.97468354,119.6202532,103.7974684
30,101.5822785,137.3417722,119.4620253
35,119.6202532,145.2531646,132.4367089
40,121.5189873,154.1139241,137.8164557
45,122.4683544,143.3544304,132.9113924
50,99.6835443,123.4177215,111.5506329
55,75,96.83544304,85.91772152
60,76.89873418,103.164557,90.03164557
65,99.6835443,134.4936709,117.0886076
70,122.4683544,159.1772152,140.8227848
75,132.278481,175.9493671,154.1139241
80,123.4177215,149.0506329,136.2341772
85,111.7088608,133.2278481,122.4683544
90,85.75949367,101.5822785,93.67088608
95,68.35443038,95.88607595,82.12025316
100,94.93670886,115.5063291,105.221519
105,122.4683544,155.0632911,138.7658228
110,125.3164557,156.0126582,140.664557
115,130.3797468,156.9620253,143.6708861
120,119.6202532,143.3544304,131.4873418
125,87.02531646,107.5949367,97.31012658
130,69.93670886,87.02531646,78.48101266
135,59.17721519,75.94936709,67.56329114
140,45.25316456,66.13924051,55.69620253
145,73.10126582,95.88607595,84.49367089
150,109.4936709,128.4810127,118.9873418
155,129.4303797,147.1518987,138.2911392
160,138.2911392,164.8734177,151.5822785
165,122.4683544,142.4050633,132.4367089
170,68.98734177,88.92405063,78.9556962
175,77.84810127,97.78481013,87.8164557
180,105.6962025,126.5822785,116.1392405
185,126.5822785,155.0632911,140.8227848
190,131.3291139,161.0759494,146.2025316
195,130.3797468,162.9746835,146.6772152
200,108.5443038,126.5822785,117.5632911
205,60.12658228,79.11392405,69.62025316
210,49.36708861,73.10126582,61.23417722
215,83.86075949,108.5443038,96.20253165
220,107.5949367,131.3291139,119.4620253
225,127.5316456,162.0253165,144.778481
230,124.3670886,150.3164557,137.3417722
235,111.7088608,132.278481,121.9936709
240,85.75949367,103.7974684,94.77848101
245,39.55696203,55.37974684,47.46835443
250,64.24050633,85.75949367,75
255,100.6329114,127.5316456,114.0822785
260,123.4177215,146.2025316,134.8101266
265,129.4303797,153.164557,141.2974684
270,132.278481,162.9746835,147.6265823
275,98.73417722,124.3670886,111.5506329
280,52.21518987,73.10126582,62.65822785
285,45.25316456,62.02531646,53.63924051
290,88.92405063,107.5949367,98.25949367
295,114.556962,140.1898734,127.3734177
300,136.3924051,158.2278481,147.3101266
305,117.4050633,150.3164557,133.8607595
310,96.83544304,112.6582278,104.7468354
315,55.37974684,72.15189873,63.76582278
320,45.25316456,60.12658228,52.68987342
325,88.92405063,111.7088608,100.3164557
330,135.443038,153.164557,144.3037975
335,132.278481,162.9746835,147.6265823
340,132.278481,158.2278481,145.2531646
345,105.6962025,124.3670886,115.0316456
350,62.02531646,75.94936709,68.98734177
355,37.34177215,53.16455696,45.25316456
360,91.7721519,113.6075949,102.6898734
365,123.4177215,153.164557,138.2911392
370,133.2278481,159.1772152,146.2025316
375,131.3291139,156.0126582,143.6708861
380,113.6075949,135.443038,124.5253165
385,91.7721519,103.7974684,97.78481013
390,48.41772152,56.32911392,52.37341772
