y,max,min,ave
0,6.75,5.25,189.8734177
5,5.93,5.5,180.8544304
10,5.81,5.12,172.943038
15,4.81,4.43,146.2025316
20,3.37,2.87,98.73417722
25,3.37,2.62,94.77848101
30,4.68,3.31,126.4240506
35,5.68,4.5,161.0759494
40,5.31,4.68,158.0696203
45,5.37,4.81,161.0759494
50,4.68,4.31,142.2468354
55,3.87,3.5,116.6139241
60,3.68,2.93,104.5886076
65,3.75,2.87,104.7468354
70,4.5,3.5,126.5822785
75,5.43,4.43,156.0126582
80,5.37,4.87,162.0253165
85,5.25,4.62,156.1708861
90,4.18,3.62,123.4177215
95,3.06,2.37,85.91772152
100,3.18,2.56,90.82278481
105,4.87,3.75,136.3924051
110,5.18,4.43,152.056962
115,5.68,4.81,165.9810127
120,4.37,4,132.4367089
125,3.43,2.93,100.6329114
130,2.93,2.37,83.86075949
135,2.62,1.75,69.14556962
140,4.25,3.12,116.6139241
145,4.87,4.12,142.2468354
150,6,5.43,180.8544304
155,5.56,4.93,165.9810127
160,4.68,4.25,141.2974684
165,3.15,2.68,92.24683544
170,3.12,2.25,84.96835443
175,4,2.93,109.6518987
180,5.06,4.43,150.1582278
185,5.81,4.93,169.9367089
190,5.5,4.87,164.0822785
195,4.25,3.75,126.5822785
200,3,2.56,87.97468354
205,2.56,1.62,66.13924051
210,3.68,3.06,106.6455696
215,5,4.37,148.2594937
220,5.87,5.12,173.8924051
225,5.43,4.87,162.9746835
230,5,4.5,150.3164557
235,3.5,3.12,104.7468354
240,3,1.87,77.05696203
245,3.37,2.56,93.82911392
250,5.43,4.56,158.0696203
255,5.43,4.75,161.0759494
260,5.5,4.93,165.0316456
265,5.5,4.93,165.0316456
270,3.87,3.43,115.5063291
275,2.31,1.81,65.18987342
280,2.5,1.75,67.24683544
285,4.43,3.43,124.3670886
290,5.12,4.37,150.1582278
295,5.81,5.18,173.8924051
300,5.68,5.18,171.835443
305,4.62,4.06,137.3417722
310,2.5,2.06,72.15189873
315,2.5,1.75,67.24683544
320,4.18,3.43,120.4113924
325,6,5.43,180.8544304
330,6.37,5.56,188.7658228
335,5.75,5.31,175
340,4.31,4.06,132.4367089
345,2.5,2.12,73.10126582
350,1.68,1,42.40506329
355,3.81,3,107.7531646
360,5.25,4.81,159.1772152
365,5.56,4.93,165.9810127
370,5.43,4.68,159.9683544
375,4.75,4.18,141.2974684
380,3.56,3.31,108.7025316
385,1.81,1.62,54.2721519
