;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07895;0.06544;20.00;5.844;0.4696;0.9331;0.08036;0.01792;0.08018;0.001051;0.05942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1250;0.1114;20.00;6.635;1.372;1.078;0.2068;0.01880;0.2040;0.001274;0.07204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1712;0.1577;20.00;6.482;1.645;1.064;0.2539;0.02327;0.2486;0.001556;0.08802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2189;0.2054;20.00;6.445;1.831;1.066;0.2841;0.02836;0.2768;0.001900;0.1075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2675;0.2539;20.00;6.342;2.063;1.061;0.3253;0.03480;0.3145;0.002321;0.1313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3158;0.3023;20.00;6.228;2.204;1.051;0.3539;0.04292;0.3401;0.002835;0.1604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3639;0.3504;20.00;6.276;2.189;1.058;0.3488;0.05211;0.3356;0.003463;0.1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4119;0.3984;20.00;6.180;2.234;1.046;0.3615;0.06440;0.3469;0.004232;0.2394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4583;0.4448;20.00;6.191;2.128;1.042;0.3437;0.07901;0.3311;0.005172;0.2926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.5044;0.4909;20.00;6.254;2.172;1.054;0.3474;0.09540;0.3343;0.006316;0.3572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5502;0.5367;20.00;6.352;2.267;1.073;0.3569;0.1143;0.3429;0.007709;0.4360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5964;0.5829;20.00;6.363;2.219;1.072;0.3488;0.1398;0.3356;0.009419;0.5328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6776;0.6641;20.00;6.245;2.184;1.053;0.3497;0.1741;0.3364;0.01152;0.6513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.7247;0.7111;20.00;6.432;2.282;1.086;0.3548;0.2059;0.3409;0.01405;0.7947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7728;0.7593;20.00;6.471;2.263;1.091;0.3498;0.2503;0.3365;0.01716;0.9707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|16;0.8207;0.8072;20.00;6.507;2.258;1.096;0.3469;0.3044;0.3339;0.02096;1.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|17;0.8691;0.8556;20.00;6.543;2.249;1.101;0.3438;0.3701;0.3311;0.02561;1.448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|18;0.9165;0.9030;20.00;6.532;2.274;1.101;0.3482;0.4523;0.3351;0.03128;1.769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|19;0.9641;0.9506;20.00;6.555;2.275;1.104;0.3471;0.5507;0.3341;0.03821;2.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|20;1.010;0.9964;20.00;6.590;2.309;1.111;0.3504;0.6683;0.3370;0.04667;2.640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|21;1.056;1.042;20.00;6.635;2.297;1.117;0.3462;0.8119;0.3333;0.05701;3.224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|22;1.102;1.088;20.00;6.652;2.307;1.121;0.3468;0.9891;0.3338;0.06964;3.939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|23;1.149;1.136;20.00;6.712;2.291;1.129;0.3413;1.199;0.3289;0.08505;4.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|24;1.195;1.182;20.00;6.770;2.305;1.138;0.3405;1.452;0.3282;0.1039;5.875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|25;1.241;1.228;20.00;6.820;2.329;1.147;0.3415;1.760;0.3291;0.1269;7.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|26;1.288;1.274;20.00;6.833;2.343;1.150;0.3430;2.145;0.3304;0.1550;8.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|27;1.334;1.320;20.00;6.858;2.346;1.154;0.3422;2.612;0.3297;0.1893;10.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|28;1.380;1.366;20.00;6.835;2.338;1.150;0.3420;3.202;0.3295;0.2313;13.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|29;1.427;1.414;20.00;6.846;2.346;1.152;0.3427;3.904;0.3302;0.2825;15.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|30;1.475;1.462;20.00;6.907;2.296;1.158;0.3324;4.742;0.3209;0.3451;19.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|31;1.523;1.509;20.00;6.910;2.281;1.158;0.3300;5.795;0.3188;0.4217;23.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|32;1.570;1.557;20.00;6.887;2.317;1.156;0.3364;7.089;0.3245;0.5151;29.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|33;1.618;1.604;20.00;6.886;2.328;1.157;0.3380;8.657;0.3260;0.6293;35.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|34;1.663;1.650;20.00;6.922;2.343;1.163;0.3385;10.52;0.3264;0.7687;43.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|35;1.709;1.696;20.00;6.922;2.349;1.163;0.3394;12.85;0.3272;0.9390;53.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|36;1.755;1.742;20.00;6.930;2.354;1.165;0.3397;15.67;0.3274;1.147;64.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|37;1.801;1.788;20.00;6.918;2.358;1.163;0.3409;19.17;0.3285;1.401;79.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|38;1.882;1.869;20.00;6.703;2.281;1.127;0.3403;24.21;0.3280;1.714;96.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|39;1.931;1.917;20.00;6.919;2.337;1.162;0.3378;28.64;0.3258;2.092;118.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|40;1.977;1.964;20.00;6.894;2.325;1.158;0.3372;35.13;0.3252;2.556;144.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|41;2.025;2.012;20.00;6.808;2.323;1.145;0.3412;43.42;0.3288;3.124;176.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|42;2.074;2.061;20.00;6.689;2.313;1.126;0.3457;53.95;0.3329;3.818;216.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|43;2.122;2.108;20.00;6.464;2.309;1.092;0.3573;68.03;0.3432;4.670;264.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|44;2.170;2.157;20.00;6.180;2.293;1.049;0.3710;86.67;0.3553;5.713;323.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|45;2.219;2.205;20.00;5.737;2.237;0.9800;0.3899;113.7;0.3718;6.998;395.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|46;2.265;2.252;20.00;5.074;2.141;0.8765;0.4220;156.0;0.3993;8.589;485.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|47;2.312;2.299;20.00;4.043;1.941;0.7138;0.4802;236.3;0.4477;10.60;599.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|48;2.358;2.345;20.00;2.507;1.517;0.4664;0.6051;453.6;0.5442;13.29;751.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|49;2.404;2.390;20.00;0.8778;0.8626;0.1959;0.9826;1422;0.7766;17.51;990.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|50;2.450;2.437;20.00;0.2457;0.3967;0.07426;1.614;4554;1.016;21.25;1202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|51;2.496;2.483;20.00;0.1344;0.3008;0.05243;2.238;6604;1.151;21.76;1231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|52;2.543;2.529;20.00;0.1096;0.2615;0.04513;2.387;8624;1.174;24.46;1383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|53;2.589;2.576;20.00;0.09084;0.2335;0.03987;2.570;10940;1.200;27.40;1550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|54;2.635;2.622;20.00;0.09030;0.2114;0.03659;2.341;14120;1.167;32.47;1836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|55;2.683;2.670;20.00;0.07593;0.1935;0.03308;2.548;17420;1.197;36.21;2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|56;2.730;2.717;20.00;0.06146;0.2102;0.03485;3.420;19760;1.286;43.26;2447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|57;2.778;2.764;20.00;0.06450;0.1940;0.03253;3.007;25220;1.250;51.56;2916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|58;2.825;2.812;20.00;0.07614;0.2015;0.03428;2.646;31170;1.210;67.14;3798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|59;2.873;2.859;20.00;0.08108;0.2107;0.03593;2.599;37680;1.203;85.06;4811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|60;2.918;2.905;20.00;0.06268;0.2045;0.03404;3.262;44710;1.273;95.62;5408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|61;2.964;2.950;20.00;0.07949;0.2001;0.03427;2.517;57500;1.193;123.8;7003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|62;3.011;2.997;20.00;0.05424;0.1838;0.03050;3.388;68360;1.284;131.0;7410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|63;3.057;3.043;20.00;0.05855;0.1933;0.03215;3.302;82720;1.277;167.1;9452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|64;3.103;3.089;20.00;0.04736;0.1813;0.02982;3.828;100700;1.315;188.7;10670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|65;3.149;3.136;20.00;0.03187;0.1787;0.02889;5.607;118700;1.394;215.5;12190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|66;3.196;3.182;20.00;0.02101;0.1919;0.03072;9.132;137700;1.462;265.8;15030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|67;3.242;3.229;20.00;0.02003;0.1994;0.03189;9.954;165500;1.471;331.7;18760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|68;3.288;3.275;20.00;0.009158;0.2272;0.03619;24.81;187600;1.531;426.5;24130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|69;3.336;3.322;20.00;0.008908;0.2572;0.04096;28.87;209600;1.536;539.5;30510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|70;3.381;3.367;20.00;0.04477;0.3099;0.04984;6.922;221000;1.427;692.0;39140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
